"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.331195740E1,-3.651521683E0,2.955454826E0,-3.637145996E0
3.331696287E1,-3.707984209E0,2.713975906E0,-3.556103706E0
3.332200688E1,-3.617532253E0,2.530797958E0,-3.483971834E0
3.332705083E1,-3.594816685E0,2.348324776E0,-3.434991360E0
3.333214083E1,-3.710808754E0,2.137726784E0,-3.284445047E0
3.333723083E1,-3.859955311E0,1.855957985E0,-3.257109642E0
3.334232083E1,-4.052006245E0,1.517443657E0,-3.151494026E0
3.334742042E1,-4.105516911E0,1.107913017E0,-2.866857052E0
3.335233042E1,-4.035609722E0,6.370191574E-1,-2.608184338E0
3.335733708E1,-3.918294430E0,1.860361099E-1,-2.427804947E0
3.336238063E1,-3.739470482E0,-2.689771652E-1,-2.263127804E0
3.336742417E1,-3.523147106E0,-7.232513428E-1,-2.061306000E0
3.337251417E1,-3.274072647E0,-1.128976822E0,-1.917957067E0
3.337760417E1,-3.035209894E0,-1.438402176E0,-1.746959448E0
3.338269417E1,-2.839974642E0,-1.785556793E0,-1.524458885E0
3.338779396E1,-2.679052830E0,-2.060384750E0,-1.341113091E0
3.339282490E1,-2.480954170E0,-2.320385933E0,-1.258492231E0
3.339787604E1,-2.245646954E0,-2.570333481E0,-1.119047403E0
3.340292708E1,-2.006520748E0,-2.805477142E0,-1.008889675E0
3.340797818E1,-1.744231224E0,-3.040209770E0,-9.375097156E-1
3.341301234E1,-1.487439752E0,-3.198037624E0,-7.899053097E-1
3.341806255E1,-1.355470777E0,-3.422543049E0,-6.714785099E-1
3.342311281E1,-1.214262366E0,-3.570207119E0,-5.770598054E-1
3.342816302E1,-1.049325943E0,-3.717683315E0,-4.442311525E-1
3.343307302E1,-9.519059658E-1,-3.836287022E0,-3.921717405E-1
3.343808469E1,-8.545823693E-1,-3.935579777E0,-3.354769945E-1
3.344312641E1,-6.188229322E-1,-3.986890316E0,-3.074758649E-1
3.344816818E1,-4.980589151E-1,-4.038120747E0,-3.416490555E-1
3.345323016E1,-3.296601176E-1,-4.022242069E0,-2.949970365E-1
3.345827292E1,-1.138905287E-1,-3.972795010E0,-3.062795997E-1
3.346331563E1,1.349261999E-1,-3.904149532E0,-3.039104342E-1
3.346835839E1,3.548325300E-1,-3.830683231E0,-2.737049460E-1
3.347344839E1,5.413587093E-1,-3.714110851E0,-1.922351718E-1
3.347853839E1,6.803587675E-1,-3.602365971E0,-1.309080124E-1
3.348362839E1,7.863832712E-1,-3.500255108E0,-2.734971046E-2
3.348871839E1,8.498529792E-1,-3.450845242E0,2.096201181E-1
3.349362839E1,8.418668509E-1,-3.411166668E0,3.085436821E-1
3.349864755E1,8.493215442E-1,-3.376386166E0,5.030525923E-1
3.350369026E1,7.428964376E-1,-3.365787029E0,7.226155996E-1
3.350873302E1,6.710184216E-1,-3.259891987E0,7.958096266E-1
3.351382302E1,3.182961345E-1,-3.254922390E0,9.044559002E-1
3.351891302E1,-4.937231541E-3,-3.197700977E0,9.294029474E-1
3.352400302E1,-2.510036230E-1,-3.073923588E0,8.371281624E-1
3.352909302E1,-4.774196148E-1,-3.003138542E0,7.992569208E-1
3.353400302E1,-7.230566144E-1,-2.899105072E0,7.293477058E-1
3.353902219E1,-9.590386748E-1,-2.795240402E0,6.983336210E-1
3.354406490E1,-1.076257348E0,-2.734456062E0,7.249410152E-1
3.354910766E1,-1.118410587E0,-2.697490692E0,6.940569878E-1
3.355419766E1,-1.124260664E0,-2.669911385E0,6.629604101E-1
3.355928766E1,-1.008147359E0,-2.637331009E0,7.081874609E-1
3.356437766E1,-8.082945347E-1,-2.609354019E0,7.819001675E-1
3.356946766E1,-6.396351457E-1,-2.533405304E0,8.460816145E-1
3.357437766E1,-4.346929789E-1,-2.443123817E0,9.346125126E-1
3.357939672E1,-2.650135756E-1,-2.314611435E0,9.612195492E-1
3.358443948E1,-2.210771441E-1,-2.224505424E0,9.788603783E-1
3.358948224E1,-1.973522902E-1,-2.105804443E0,1.025723696E0
3.359457224E1,-1.172129512E-1,-1.972878456E0,1.068152547E0
3.359966224E1,-7.633870840E-2,-1.777923584E0,1.053560495E0
3.360475224E1,-7.499063015E-2,-1.611789703E0,1.091591477E0
3.360984224E1,-7.874488831E-3,-1.474399567E0,1.081496000E0
3.361475224E1,5.366230011E-2,-1.279602051E0,1.113716602E0
3.361977136E1,4.687988758E-2,-1.084688187E0,1.225755692E0
3.362481406E1,8.176875114E-2,-9.087533951E-1,1.403038025E0
3.362985682E1,1.005908847E-1,-6.226100922E-1,1.559411407E0
3.363491583E1,2.279445529E-1,-2.885704041E-1,1.742684960E0
3.363995938E1,2.443363667E-1,9.805297852E-2,1.885787606E0
3.364500297E1,3.270093799E-1,5.371742249E-1,2.165806770E0
3.365004651E1,3.228978515E-1,1.023901939E0,2.425058365E0
3.365513651E1,3.090485334E-1,1.481621742E0,2.639682293E0
3.366022651E1,1.811807156E-1,1.915041924E0,2.723768234E0
3.366531651E1,-8.852458000E-2,2.391110420E0,2.959405422E0
3.367041625E1,-1.742135286E-1,2.751911163E0,3.102450848E0
3.367532625E1,-2.614059448E-1,3.155075073E0,3.264136791E0
3.368033370E1,-4.794446826E-1,3.509862900E0,3.510497570E0
3.368537698E1,-5.791301727E-1,3.715700150E0,3.636685371E0
3.369042026E1,-7.133411169E-1,3.758268356E0,3.514381409E0
3.369547760E1,-1.173763871E0,3.661786079E0,3.377665997E0
3.370052162E1,-1.501449466E0,3.503105164E0,3.307396889E0
3.370556563E1,-1.739840746E0,3.301575661E0,3.264671564E0
3.371060958E1,-1.851152778E0,2.990495682E0,3.325280666E0
