"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.902979567E1,6.518845888E1,2.535895395E1,7.672094891E0,0.000000000E0,NaN,5.474820614E0,7.815247059E0
2.002858562E1,6.518846589E1,2.535892749E1,9.466885535E0,0.000000000E0,NaN,3.790092468E0,4.509529591E0
2.209908593E1,6.518831932E1,2.535914142E1,8.049277589E0,9.399999976E-1,1.576999969E2,4.376005173E0,5.688173771E0
2.250626713E1,6.518831230E1,2.535913652E1,9.731042532E0,9.100000262E-1,1.438000031E2,3.790092468E0,4.320379257E0
2.350540197E1,6.518830114E1,2.535914844E1,1.087545963E1,1.049999952E0,1.546000061E2,3.790092468E0,3.716283083E0
2.450518317E1,6.518828496E1,2.535916857E1,1.090690484E1,1.159999967E0,1.495000000E2,3.790092468E0,2.948705912E0
2.550545192E1,6.518826645E1,2.535912979E1,1.078385819E1,6.899999976E-1,1.495000000E2,3.914925098E0,3.926547527E0
2.650571728E1,6.518825287E1,2.535913124E1,1.015727803E1,NaN,NaN,1.389702034E1,2.063506317E1
2.750517812E1,6.518825127E1,2.535914592E1,9.568414841E0,6.499999762E-1,1.556999969E2,3.790092468E0,2.724367142E0
2.850581864E1,6.518825127E1,2.535915152E1,9.620601134E0,0.000000000E0,NaN,3.790092468E0,2.500000000E0
2.950536322E1,6.518825193E1,2.535914477E1,8.849175993E0,0.000000000E0,NaN,3.790092468E0,2.500000000E0
3.050567697E1,6.518825133E1,2.535914541E1,8.115839017E0,0.000000000E0,NaN,3.790092468E0,2.500000000E0
3.150599488E1,6.518825164E1,2.535914795E1,8.327021070E0,0.000000000E0,NaN,3.790092468E0,2.500000000E0
3.250520395E1,6.518824419E1,2.535916722E1,8.420717813E0,8.399999738E-1,1.438999939E2,3.790092468E0,2.500000000E0
3.350560832E1,6.518822948E1,2.535918732E1,8.873610074E0,1.639999986E0,1.538000031E2,3.790092468E0,2.500000000E0
3.450534603E1,6.518821687E1,2.535919841E1,8.649924647E0,1.259999990E0,1.551999969E2,3.790092468E0,2.500000000E0
3.550588613E1,6.518820580E1,2.535921322E1,9.407257376E0,1.330000043E0,1.536999969E2,3.790092468E0,2.500000000E0
3.650597228E1,6.518819505E1,2.535922799E1,9.923806253E0,1.309999943E0,1.488999939E2,3.790092468E0,2.500000000E0
3.750516061E1,6.518818415E1,2.535924312E1,1.011229131E1,1.340000033E0,1.488000031E2,3.790092468E0,2.500000000E0
3.850610280E1,6.518817255E1,2.535925694E1,1.021941656E1,1.350000024E0,1.541000061E2,3.790092468E0,2.500000000E0
3.950531530E1,6.518815885E1,2.535926857E1,1.053320735E1,1.450000048E0,1.558999939E2,3.790092468E0,2.500000000E0
4.050568462E1,6.518814562E1,2.535927594E1,1.045869132E1,1.309999943E0,1.598999939E2,3.790092468E0,2.500000000E0
4.150600176E1,6.518813246E1,2.535928391E1,1.082655820E1,1.340000033E0,1.611999969E2,3.790092468E0,2.500000000E0
4.250530300E1,6.518811905E1,2.535929355E1,1.121908376E1,1.330000043E0,1.611999969E2,3.790092468E0,2.500000000E0
4.350571780E1,6.518810618E1,2.535930228E1,1.131595458E1,1.230000019E0,1.623999939E2,3.790092468E0,2.500000000E0
4.450556035E1,6.518809281E1,2.535930909E1,1.119029103E1,1.340000033E0,1.668999939E2,3.790092468E0,2.500000000E0
